epoch,train_loss,val_loss
1,0.0228344984115309,0.0042771776265735865
2,0.003148166617010809,0.002763951881022393
3,0.002348980136737702,0.0015731803789923464
4,0.001735255217096608,0.001331428561029555
5,0.001247129337802814,0.0012093052456650553
6,0.0011830017635017446,0.0012259406945373439
7,0.0010582102332145542,0.0012784114555467532
8,0.0008743174706295037,0.0011336665742004975
9,0.0008489855915118175,0.0006532779882980299
10,0.0006467875116949628,0.0007113101833228822
11,0.0006856571432131871,0.0005140136691588388
12,0.0006008765594974442,0.0004503190328803244
13,0.0011362593834567222,0.0005911651857291594
14,0.0005918927727990847,0.0009083712968645217
15,0.0006193589347942619,0.0007329265213316412
16,0.0004602032861891825,0.00034245708660714946
17,0.0003480074369603661,0.0003748803761354677
18,0.0003711475878004815,0.0004032121817017816
19,0.00033461563526445136,0.00030100267309292106
20,0.0003259953846977015,0.0002748340510638656
21,0.00030638206346779114,0.0002615592994128063
22,0.00029056144368117025,0.0003422101971450125
23,0.0002728291093164189,0.00017581009276353629
24,0.0002855636938742012,0.0002475071722155164
25,0.0002215268553062609,0.00033768918958439187
26,0.00023398019231049121,0.0002207373073146601
27,0.00022112416803457175,0.0001458337020342517
28,0.00017003851474090746,0.00015082826043010517
29,0.00015148547756823765,0.00012540817260742188
30,0.00015454510357349542,0.00015033987961756955
31,0.0001475612164302996,0.00015560405886476966
32,0.000184895091090992,0.00015295625539721956
33,0.00017124337328087752,0.00016781471812041702
34,0.00015405875150185483,0.00012655038932326494
35,0.00015811722986637408,0.00021199243748263948
36,0.00016124035190245148,0.00010726258016315995
37,0.00015996184176320482,0.00023896607813561797
38,0.00013637604417314955,0.00012385326728319666
39,0.00012873555681887705,0.00018371247751697612
40,0.00014537935898562145,0.00020628398770739317
41,0.00016576010188099684,0.00015456649433275696
42,0.0001417177070857613,0.0001086517931169765
43,0.00013392897927837007,0.00011785939383278986
44,0.0001473543916348439,0.00015750129938505258
45,0.00014122245702773902,0.00013338588178157806
46,0.0001420445953774604,0.0001530966300303769
47,0.00013579679712368424,0.0001441673939205279
48,0.00015290624871375455,0.0001259334978594142
49,0.00012977749916018953,9.658007888467448e-05
50,0.00011539436686950125,0.00013630838388470326
51,0.00014214396808937097,0.00016307084566089
52,0.000131998661976711,0.00011950962625111743
53,0.00011495123528371191,0.00011872859659847939
54,0.00013306576782351088,0.00013724315887803483
55,0.00014287210811095633,0.00013149768161545893
56,0.0001637695630075066,0.00015138572520890812
57,0.00012788378224251376,0.00012881439297821872
58,0.00011471704028214618,8.257294583852124e-05
59,0.00010675793383151862,0.00010101236165708797
